COMPANY,DATE,OPEN ,HIGH,LOW,CLOSE,VOLUME,CHANGE,
FLIPKART,JUNE 4 2018,1649,1666,1645,1665,3185146,23.73,
,JUNE 5 2018,1673,1699,1670,1696,4780408,31.08,
,JUNE 6 2018,,,,1696,5471341,-0.6,
,JUNE 7 2018,1699,1700,1676,1689,3759658,-6.45,
,JUNE 8 2018,1681,1689,1673,1684,2955110,-5.31,
,JUNE 11 2018,1682,1694,1681,1689,2332986,5.13,
,JUNE 12 2018,1693,1700,1692,1699,2255692,9.63,
,JUNE 13 2018,1703,1714,1700,1705,3325560,6.11,
,JUNE 14 2018,1713,1725,1709,1724,3172742,19,
,JUNE 15 2018,,1721,1724,1716,4777646,-7.89,
,JUNE 18 2018,1706,1727,1703,1724,3103212,7.82,
,JUNE 19 2018,1709,1706,1700,1735,4287896,10.99,
,JUNE 20 2018,1742,1763,1741,1750,4329812,15.3,
,JUNE 21 2018,1760,1763,1718,1730,4938363,-19.86,
,JUNE 22 2018,1743,1743,1712,1716,4075124,-14.55,
,JUNE 25 2018,1703,1705,1646,1663,7508521,-52.52,
,JUNE 26 2018,1672,1702,1663,1691,4382593,27.94,
,JUNE 27 2018,1708,1712,1660,1661,4869947,-30.58,
,JUNE 28 2018,1673,1706,1661,1701,45270606,40.94,
,JUNE 29 2018,1717,1723,1694,1700,4543508,-1.65,
,JULY 2 2018,1683,1714,1678,1714,3185280,13.98,
,JULY 3 2018,,1694,1694,1694,0,-19.82,
,JULY 5 2018,1705,1711,1682,1700,2981225,5.77,
,JULY 6 2018,1696,1715,`1692,1711,2650262,10.9,
,JULY 9 2018,1724,1740,1720,1739,3007556,28.39,
,JULY 10 2018,1739,1750,1732,1743,2989740,4.05,
,JULY 11 2018,1738,1757,1734,1755,3203505,11.93,
,JULY 12 2018,,1798,1762,1797,4526680,41.62,
,JULY 13 2018,1804,1815,1795,1813,4386679,16.41,
,JULY 16 2018,1822,1842,`1814,1822,5457000,9.46,
,JULY 17 2018,1812,1852,1797,1844,5677302,21.44,
,JULY 18 2018,1848,1859,1831,1843,4860925,-1.01,
,JULY 19 2018,1829,1842,1811,1813,4673814,-29.95,
,JULY 20 2018,1825,1835,1810,1814,3891566,0.73,
,JULY 23 2018,1812,1818,1770,1802,3883421,-11.7,
,JULY 24 2018,1829,1840,1809,1829,4276330,27.24,
,JULY 25 2018,1829,1864,1823,1864,3819810,34.37,
,JULY 26 2018,1839,1845,1804,1808,9895763,-55.61,
,JULY 27 2018,1876,1880,1807,1817,909680900,9.27,
,JULY 30 2018,1827,1830,1766,1779,6560043,-38.75,
,JULY 31 2018,1786,1802,1739,1777,5733563,-1.78,
,AUGUST 1 2018,1784,1798,1776,1797,4149791,19.73,
,AUGUST 2 2018,1789,1837,1786,1834,4352123,37.16,
,AUGUST 3 2018,1838,1841,1822,1823,3460400,-11.04,
,AUGUST 6 2018,1826,1848,1819,1848,3390341,21.46,
,AUGUST 7 2018,1855,1870,1846,1862,3374364,14.73,
,AUGUST 8 2018,1861,1892,1854,1887,3959892,24.04,
,AUGUST 9 2018,1882,1915,1877,1899,4858674,12,
,AUGUST 10 2018,1889,1900,1878,1886,3639900,-12.22,
,AUGUST 13 2018,1898,1925,1894,1896,5525936,9.9,
,AUGUST 14 2018,1919,1921,1900,1920,3980494,23.45,
,AUGUST 16 2018,1910,1916,1870,1883,7694248,-37.03,
,AUGUST 17 2018,1886,1888,1856,1882,4104300,-4.3,
,AUGUST 20 2018,1891,1892,1866,1877,2860533,-5.51,
,AUGUST 21 2018,1880,1898,1874,1883,3096614,6.71,
,AUGUST 22 2018,1877,1906,1877,1905,3076599,21.48,
,AUGUST 23 2018,1907,1920,1901,1903,3556690,-2,
,AUGUST 24 2018,1911,1916,1903,1905,2797898,2.49,
,,,,,,,,
,,,,,,,,
